keys,en,de,zh_CN,fr,zh_TW,ja,ko,es,es_MX,pt_PT,pt_BR,ru
formation_presets_saved_toast,Formation saved.,Formation gespeichert.,阵容已保存。,Formation enregistrée.,陣容已儲存。,編成を保存しました。,편성이 저장되었습니다.,Formación guardada.,Formación guardada.,Formação guardada.,Formação salva.,Состав сохранён.
formation_presets_truncated_toast,Name shortened to fit.,"Name gekürzt, um zu passen.",名称过长，已自动缩短。,Nom raccourci pour tenir.,名稱已縮短以符合長度。,名前を短縮しました。,이름을 길이에 맞게 줄였습니다.,Nombre acortado para que quepa.,Nombre acortado para que quepa.,Nome encurtado para caber.,Nome encurtado para caber.,Название сокращено.
formation_presets_at_cap_toast,You've saved the most formations you can. Delete one to make room.,"Du hast die maximale Anzahl an Formationen gespeichert. Lösche eine, um Platz zu schaffen.",你保存的阵容已达上限。删除一个以腾出空间。,Vous avez atteint le nombre maximal de formations. Supprimez-en une pour faire de la place.,你儲存的陣容數量已達上限。請刪除一個以騰出空間。,保存できる編成数が上限に達しました。1つ削除して空きを作ってください。,저장할 수 있는 편성이 가득 찼습니다. 하나를 삭제하여 공간을 확보하세요.,Has guardado el máximo de formaciones posible. Elimina una para hacer sitio.,Guardaste el máximo de formaciones posible. Elimina una para hacer espacio.,Já guardaste o máximo de formações possível. Elimina uma para abrir espaço.,Você já salvou o máximo de formações possível. Exclua uma para abrir espaço.,"Достигнут предел сохранённых составов. Удалите один, чтобы освободить место."
formation_presets_name_empty_toast,Enter a name for this formation.,Gib dieser Formation einen Namen.,请为该阵容输入一个名称。,Saisissez un nom pour cette formation.,請為此陣容輸入名稱。,この編成の名前を入力してください。,이 편성의 이름을 입력하세요.,Introduce un nombre para esta formación.,Ingresa un nombre para esta formación.,Introduz um nome para esta formação.,Digite um nome para esta formação.,Введите название состава.
formation_presets_missing_toast,%d saved hero(es) are no longer in your guild — those slots are empty.,%d gespeicherte Held(en) sind nicht mehr in deiner Gilde — diese Plätze sind leer.,%d 名已保存的英雄已不在你的公会中 — 这些位置为空。,%d héros enregistré(s) ne font plus partie de votre guilde — ces emplacements sont vides.,%d 名已儲存的英雄已不在你的公會中 — 這些欄位目前是空的。,保存された %d 名のヒーローがギルドにいません — それらの枠は空です。,저장된 영웅 %d명이 더 이상 길드에 없습니다 — 해당 슬롯은 비어 있습니다.,%d héroe(s) guardado(s) ya no están en tu gremio — esos puestos están vacíos.,%d héroe(s) guardado(s) ya no están en tu gremio — esos puestos están vacíos.,%d herói(s) guardado(s) já não estão na tua guilda — esses espaços estão vazios.,%d herói(s) salvo(s) não estão mais na sua guilda — esses espaços estão vazios.,Часть сохранённых героев больше не в вашей гильдии (%d) — эти ячейки пусты.
formation_presets_recall_unknown_toast,That formation is no longer available.,Diese Formation ist nicht mehr verfügbar.,该阵容已不可用。,Cette formation n'est plus disponible.,此陣容已不再可用。,その編成は利用できません。,해당 편성은 더 이상 사용할 수 없습니다.,Esa formación ya no está disponible.,Esa formación ya no está disponible.,Essa formação já não está disponível.,Essa formação não está mais disponível.,Этот состав больше недоступен.
formation_presets_deleted_toast,Formation deleted.,Formation gelöscht.,阵容已删除。,Formation supprimée.,陣容已刪除。,編成を削除しました。,편성이 삭제되었습니다.,Formación eliminada.,Formación eliminada.,Formação eliminada.,Formação excluída.,Состав удалён.
app_wordmark,Lantern Guild,Lantern Guild,Lantern Guild,Lantern Guild,Lantern Guild,Lantern Guild,Lantern Guild,Lantern Guild,Lantern Guild,Lantern Guild,Lantern Guild,Lantern Guild
app_tagline,The dungeon is dark. Send a light.,Das Verlies ist dunkel. Schick ein Licht.,地下城一片漆黑。送去一束光。,Le donjon est sombre. Envoyez une lumière.,地城一片漆黑。送去一束光。,ダンジョンは暗い。光を送ろう。,던전은 어둡습니다. 빛을 보내세요.,La mazmorra está oscura. Envía una luz.,La mazmorra está oscura. Envía una luz.,A masmorra é escura. Envia uma luz.,A masmorra é escura. Envie uma luz.,В подземелье темно. Пошлите свет.
back_to_guild_hall_button,← Guild Hall,← Gildenhalle,← 公会大厅,← Hall de la guilde,← 公會大廳,← ギルドホール,← 길드 홀,← Salón del gremio,← Salón del gremio,← Salão da Guilda,← Salão da Guilda,← Зал гильдии
title_screen_continue_button,Continue the Watch,Die Wacht fortsetzen,继续守望,Poursuivre la veille,繼續守望,守りを続ける,수호 이어가기,Continuar la vigilia,Continuar la vigilia,Continuar a Vigília,Continuar a Vigília,Продолжить дозор
title_screen_settings_button,Settings,Einstellungen,设置,Paramètres,設定,設定,설정,Ajustes,Configuración,Definições,Configurações,Настройки
start_menu_start_button,Start Expedition,Expedition starten,开始远征,Lancer l'expédition,開始遠征,遠征を開始,원정 시작,Iniciar expedición,Iniciar expedición,Iniciar Expedição,Iniciar Expedição,Начать поход
start_menu_quit_button,Quit,Beenden,退出,Quitter,退出,終了,종료,Salir,Salir,Sair,Sair,Выход
codex_eyebrow,· The guild keeps a record ·,· Die Gilde führt Buch ·,· 公会留有记录 ·,· La guilde tient un registre ·,· 公會留有記錄 ·,· ギルドは記録を残す ·,· 길드는 기록을 남깁니다 ·,· El gremio lleva un registro ·,· El gremio lleva un registro ·,· A guilda mantém um registo ·,· A guilda mantém um registro ·,· Гильдия ведёт записи ·
codex_title,The Codex,Der Kodex,图鉴,Le Codex,圖鑑,図鑑,코덱스,El Códice,El Códice,O Códice,O Códice,Кодекс
codex_close_button,Close,Schließen,关闭,Fermer,關閉,閉じる,닫기,Cerrar,Cerrar,Fechar,Fechar,Закрыть
codex_tab_heroes,Heroes,Helden,英雄,Héros,英雄,ヒーロー,영웅,Héroes,Héroes,Heróis,Heróis,Герои
codex_tab_monsters,Monsters,Monster,怪物,Monstres,怪物,モンスター,몬스터,Monstruos,Monstruos,Monstros,Monstros,Монстры
codex_tab_dungeons,Dungeons,Verliese,地下城,Donjons,地城,ダンジョン,던전,Mazmorras,Mazmorras,Masmorras,Masmorras,Подземелья
codex_empty_state,Nothing recorded yet.,Noch nichts aufgezeichnet.,还没有任何记录。,Rien d'enregistré pour l'instant.,還沒有任何記錄。,まだ何も記録されていません。,아직 기록된 것이 없습니다.,Aún no hay nada registrado.,Aún no hay nada registrado.,Ainda nada registado.,Ainda nada registrado.,Пока ничего не записано.
pause_menu_eyebrow,· The guild waits ·,· Die Gilde wartet ·,· 公会静候 ·,· La guilde attend ·,· 公會靜候 ·,· ギルドは待っている ·,· 길드가 기다립니다 ·,· El gremio espera ·,· El gremio espera ·,· A guilda aguarda ·,· A guilda aguarda ·,· Гильдия ждёт ·
pause_menu_tagline,The hour-glass turns regardless.,Die Sanduhr läuft trotzdem weiter.,沙漏依旧流转。,Le sablier s'écoule malgré tout.,沙漏依舊流轉。,それでも砂時計は流れ続ける。,모래시계는 그래도 흐릅니다.,El reloj de arena sigue girando de todos modos.,El reloj de arena sigue girando de todos modos.,A ampulheta gira na mesma.,A ampulheta gira mesmo assim.,Песочные часы всё равно идут.
pause_menu_return_to_title_button,Return to Title,Zum Titel zurück,返回标题,Retour au menu principal,返回標題畫面,タイトルに戻る,타이틀로 돌아가기,Volver al título,Volver al título,Voltar ao Ecrã Inicial,Voltar à Tela Inicial,Вернуться в меню
dungeon_run_hp_format,HP %d/%d,TP %d/%d,生命 %d/%d,PV %d/%d,生命 %d/%d,HP %d/%d,HP %d/%d,PV %d/%d,PV %d/%d,PV %d/%d,PV %d/%d,ОЗ %d/%d
dungeon_run_enemies_format,Enemies %d/%d,Gegner %d/%d,敌人 %d/%d,Ennemis %d/%d,敵人 %d/%d,敵 %d/%d,적 %d/%d,Enemigos %d/%d,Enemigos %d/%d,Inimigos %d/%d,Inimigos %d/%d,Враги %d/%d
dungeon_run_return_to_hall_button,Return to Hall,Zurück zur Halle,返回大厅,Retour au Hall,返回大廳,ホールに戻る,길드 홀로 돌아가기,Volver al salón,Volver al salón,Voltar ao Salão,Voltar ao Salão,Вернуться в зал
victory_zero_gold_label,0 gold,0 Gold,0 金币,0 or,0 金幣,0 ゴールド,0 골드,0 de oro,0 de oro,0 de ouro,0 de ouro,0 золота
formation_assignment_gold_counter_format,Gold: %s,Gold: %s,金币：%s,Or : %s,金幣：%s,ゴールド：%s,골드: %s,Oro: %s,Oro: %s,Ouro: %s,Ouro: %s,Золото: %s
formation_assignment_no_biomes,No biomes available,Keine Regionen verfügbar,暂无可用区域,Aucune région disponible,暫無可用區域,利用可能な地域がありません,사용 가능한 지역 없음,No hay regiones disponibles,No hay regiones disponibles,Nenhuma região disponível,Nenhuma região disponível,Нет доступных регионов
formation_assignment_common_archetypes_format,Common: %s,Häufig: %s,常见：%s,Communs : %s,常見：%s,頻出：%s,흔한 적: %s,Comunes: %s,Comunes: %s,Comuns: %s,Comuns: %s,Часто: %s
formation_assignment_floor_button_format,F%d,E%d,%d层,É%d,%d層,%d階,%d층,P%d,P%d,P%d,A%d,Э%d
formation_assignment_floor_button_locked_format,🔒 F%d,🔒 E%d,🔒 %d层,🔒 É%d,🔒 %d層,🔒 %d階,🔒 %d층,🔒 P%d,🔒 P%d,🔒 P%d,🔒 A%d,🔒 Э%d
formation_assignment_select_locked,Select (locked),Wählen (gesperrt),选择（已锁定）,Sélectionner (verrouillé),選擇（已鎖定）,選択（ロック中）,선택 (잠김),Elegir (bloqueado),Elegir (bloqueado),Selecionar (bloqueado),Selecionar (bloqueado),Выбрать (заблокировано)
formation_assignment_synergy_badge_format,%s: %s,%s: %s,%s：%s,%s : %s,%s：%s,%s：%s,%s: %s,%s: %s,%s: %s,%s: %s,%s: %s,%s: %s
formation_assignment_hero_slot_counter_format,%s (%s Lv%d · vs %s),%s (%s St.%d · vs %s),%s（%s %d级 · 克制 %s）,%s (%s Niv.%d · vs %s),%s（%s %d級 · 剋制 %s）,%s（%s Lv%d · vs %s）,%s (%s Lv%d · vs %s),%s (%s Nv%d · vs %s),%s (%s Nv%d · vs %s),%s (%s Nv%d · vs %s),%s (%s Nv%d · vs %s),%s (%s Ур.%d · против %s)
formation_assignment_hero_slot_format,%s (%s Lv%d),%s (%s St.%d),%s（%s %d级）,%s (%s Niv.%d),%s（%s %d級）,%s（%s Lv%d）,%s (%s Lv%d),%s (%s Nv%d),%s (%s Nv%d),%s (%s Nv%d),%s (%s Nv%d),%s (%s Ур.%d)
formation_presets_panel_title,Saved Formations,Gespeicherte Formationen,已保存的阵容,Formations enregistrées,已儲存的陣容,保存した編成,저장된 편성,Formaciones guardadas,Formaciones guardadas,Formações Guardadas,Formações Salvas,Сохранённые составы
formation_presets_recall_button,Recall,Abrufen,取出,Rappeler,載入,呼び出す,불러오기,Recuperar,Recuperar,Recuperar,Recuperar,Загрузить
formation_presets_save_button,Save,Speichern,保存,Enregistrer,儲存,保存,저장,Guardar,Guardar,Guardar,Salvar,Сохранить
formation_presets_delete_button,Delete,Löschen,删除,Supprimer,刪除,削除,삭제,Eliminar,Eliminar,Eliminar,Excluir,Удалить
formation_assignment_mid_run_confirm_body,Changing your formation will end the current run. Continue?,"Wenn du die Formation änderst, endet die aktuelle Expedition. Fortfahren?",更改阵容将结束当前远征。是否继续？,Changer de formation mettra fin à l'expédition en cours. Continuer ?,更改陣容將結束目前的遠征。是否繼續？,編成を変更すると現在の遠征が終了します。続けますか？,편성을 변경하면 현재 원정이 종료됩니다. 계속하시겠습니까?,Cambiar tu formación terminará la expedición actual. ¿Continuar?,Cambiar tu formación terminará la expedición actual. ¿Continuar?,Alterar a tua formação terminará a expedição atual. Continuar?,Alterar sua formação encerrará a expedição atual. Continuar?,Смена состава завершит текущий поход. Продолжить?
formation_assignment_cancel_button,Cancel,Abbrechen,取消,Annuler,取消,キャンセル,취소,Cancelar,Cancelar,Cancelar,Cancelar,Отмена
formation_assignment_end_run_confirm_button,End Run & Change,Expedition beenden & ändern,结束远征并更改,Terminer et changer,結束遠征並更改,遠征を終了して変更,원정 종료 후 변경,Terminar y cambiar,Terminar y cambiar,Terminar e alterar,Encerrar e alterar,Завершить поход и сменить
formation_assignment_picker_cancel_button,← Cancel,← Abbrechen,← 取消,← Annuler,← 取消,← キャンセル,← 취소,← Cancelar,← Cancelar,← Cancelar,← Cancelar,← Отмена
formation_assignment_picker_title,Choose Your Run,Wähle deine Expedition,选择你的远征,Choisissez votre expédition,選擇你的遠征,遠征を選択,원정 선택,Elige tu expedición,Elige tu expedición,Escolhe a tua expedição,Escolha sua expedição,Выберите поход
formation_assignment_picker_select_button,Select,Wählen,选择,Sélectionner,選擇,選択,선택,Elegir,Elegir,Selecionar,Selecionar,Выбрать
formation_presets_save_modal_title,Name this formation,Benenne diese Formation,为该阵容命名,Nommez cette formation,為此陣容命名,この編成に名前を付ける,이 편성의 이름 정하기,Nombra esta formación,Nombra esta formación,Dá um nome a esta formação,Dê um nome a esta formação,Назовите этот состав
formation_presets_name_placeholder,My formation,Meine Formation,我的阵容,Ma formation,我的陣容,私の編成,내 편성,Mi formación,Mi formación,A minha formação,Minha formação,Мой состав
formation_presets_delete_confirm_body,Delete this formation? This can't be undone.,Diese Formation löschen? Das kann nicht rückgängig gemacht werden.,删除该阵容？此操作无法撤销。,Supprimer cette formation ? Action irréversible.,刪除此陣容？此操作無法復原。,この編成を削除しますか？元に戻せません。,이 편성을 삭제할까요? 되돌릴 수 없습니다.,¿Eliminar esta formación? Esto no se puede deshacer.,¿Eliminar esta formación? Esto no se puede deshacer.,Eliminar esta formação? Isto não pode ser anulado.,Excluir esta formação? Isso não pode ser desfeito.,Удалить этот состав? Это нельзя отменить.
hero_detail_counter_archetype_format,Strong vs: %s,Stark gegen: %s,克制：%s,Fort contre : %s,剋制：%s,得意な相手：%s,강한 상대: %s,Fuerte contra: %s,Fuerte contra: %s,Forte contra: %s,Forte contra: %s,Силён против: %s
hero_detail_name_scaffold,Hero Name,Heldenname,英雄名称,Nom du héros,英雄名稱,ヒーロー名,영웅 이름,Nombre del héroe,Nombre del héroe,Nome do herói,Nome do herói,Имя героя
hero_detail_class_scaffold,Class,Klasse,职业,Classe,職業,クラス,직업,Clase,Clase,Classe,Classe,Класс
hero_detail_level_label,Level,Stufe,等级,Niveau,等級,レベル,레벨,Nivel,Nivel,Nível,Nível,Уровень
hero_detail_level_up_button,Level Up,Stufenaufstieg,升级,Améliorer,升級,レベルアップ,레벨 업,Subir de nivel,Subir de nivel,Subir de nível,Subir de nível,Повысить уровень
hero_detail_close_button,Close,Schließen,关闭,Fermer,關閉,閉じる,닫기,Cerrar,Cerrar,Fechar,Fechar,Закрыть
recruitment_gold_counter_format,%s gold,%s Gold,%s 金币,%s or,%s 金幣,%s ゴールド,%s 골드,%s de oro,%s de oro,%s de ouro,%s de ouro,%s золота
recruitment_recruit_button,Recruit,Rekrutieren,招募,Recruter,招募,採用,모집,Reclutar,Reclutar,Recrutar,Recrutar,Нанять
recruitment_refresh_pool_button_format,Refresh Pool — %s gold,Pool auffrischen — %s Gold,刷新候选池 — %s 金币,Actualiser le vivier — %s or,刷新候選池 — %s 金幣,候補を更新 — %s ゴールド,후보군 새로고침 — %s 골드,Actualizar reserva — %s de oro,Actualizar reserva — %s de oro,Atualizar reserva — %s de ouro,Atualizar reserva — %s de ouro,Обновить список — %s золота
recruitment_class_matchup_format,%s · vs %s,%s · vs %s,%s · 克制 %s,%s · vs %s,%s · 剋制 %s,%s · vs %s,%s · vs %s,%s · vs %s,%s · vs %s,%s · vs %s,%s · vs %s,%s · против %s
recruitment_screen_title,Recruit,Rekrutieren,招募,Recrutement,招募,採用,모집,Reclutar,Reclutar,Recrutar,Recrutar,Наём
guild_hall_prestige_multiplier_format,×%.2f,×%.2f,×%.2f,×%.2f,×%.2f,×%.2f,×%.2f,×%.2f,×%.2f,×%.2f,×%.2f,×%.2f
guild_hall_gold_counter_format,Gold: %d,Gold: %d,金币：%d,Or : %d,金幣：%d,ゴールド：%d,골드: %d,Oro: %d,Oro: %d,Ouro: %d,Ouro: %d,Золото: %d
guild_hall_synergy_badge_format,%s: %s,%s: %s,%s：%s,%s : %s,%s：%s,%s：%s,%s: %s,%s: %s,%s: %s,%s: %s,%s: %s,%s: %s
guild_hall_hero_card_counter_format,%s · %s · Lv %d · vs %s,%s · %s · St. %d · vs %s,%s · %s · %d级 · 克制 %s,%s · %s · Niv. %d · vs %s,%s · %s · %d級 · 剋制 %s,%s · %s · Lv %d · vs %s,%s · %s · Lv %d · vs %s,%s · %s · Nv %d · vs %s,%s · %s · Nv %d · vs %s,%s · %s · Nv %d · vs %s,%s · %s · Nv %d · vs %s,%s · %s · Ур. %d · против %s
guild_hall_hero_card_format,%s · %s · Lv %d,%s · %s · St. %d,%s · %s · %d级,%s · %s · Niv. %d,%s · %s · %d級,%s · %s · Lv %d,%s · %s · Lv %d,%s · %s · Nv %d,%s · %s · Nv %d,%s · %s · Nv %d,%s · %s · Nv %d,%s · %s · Ур. %d
guild_hall_title,Guild Hall,Gildenhalle,公会大厅,Hall de la guilde,公會大廳,ギルドホール,길드 홀,Salón del gremio,Salón del gremio,Salão da Guilda,Salão da Guilda,Зал гильдии
guild_hall_dispatch_button,Go to Dispatch,Zur Entsendung,前往派遣,Aller au déploiement,前往派遣,派遣へ,파견하러 가기,Ir a desplegar,Ir a enviar,Ir para o Despacho,Ir para o Despacho,Перейти к отправке
guild_hall_recruit_button,Recruit,Rekrutieren,招募,Recruter,招募,採用,모집,Reclutar,Reclutar,Recrutar,Recrutar,Нанять
victory_kills_label,Kills,Besiegt,击杀,Éliminations,擊殺,撃破,처치,Bajas,Bajas,Abates,Abates,Убийства
victory_gold_gained_label,Gold gained,Gold erhalten,获得金币,Or gagné,獲得金幣,獲得ゴールド,획득 골드,Oro ganado,Oro ganado,Ouro ganho,Ouro ganho,Получено золота
settings_volume_silent_label,-INF,-INF,-INF,-INF,-INF,-INF,-INF,-INF,-INF,-INF,-INF,-INF
settings_volume_db_format,%d dB,%d dB,%d dB,%d dB,%d dB,%d dB,%d dB,%d dB,%d dB,%d dB,%d dB,%d dB
settings_eyebrow_header,· The inner workings ·,· Das Innenleben ·,· 内部运作 ·,· Les rouages ·,· 內部運作 ·,· 内部の仕組み ·,· 내부 작동 ·,· Los entresijos ·,· El funcionamiento interno ·,· Os bastidores ·,· Os bastidores ·,· Внутреннее устройство ·
settings_section_audio,Audio,Audio,音频,Audio,音訊,オーディオ,오디오,Audio,Audio,Áudio,Áudio,Звук
settings_section_accessibility,Accessibility,Barrierefreiheit,无障碍,Accessibilité,無障礙,アクセシビリティ,접근성,Accesibilidad,Accesibilidad,Acessibilidade,Acessibilidade,Доступность
settings_section_data_locale,Data & locale,Daten & Sprache,数据与语言,Données et langue,資料與語言,データと言語,데이터 및 언어,Datos e idioma,Datos e idioma,Dados e idioma,Dados e idioma,Данные и язык
settings_title,Settings,Einstellungen,设置,Paramètres,設定,設定,설정,Ajustes,Configuración,Definições,Configurações,Настройки
settings_volume_master_label,Master,Gesamt,主音量,Général,主音量,マスター,마스터,General,General,Geral,Geral,Общий
settings_volume_music_label,Music,Musik,音乐,Musique,音樂,音楽,음악,Música,Música,Música,Música,Музыка
settings_volume_sfx_label,SFX,Effekte,音效,Effets,音效,効果音,효과음,Efectos,Efectos,Efeitos,Efeitos,Эффекты
settings_mute_label,Mute (master),Stumm (gesamt),静音（主）,Muet (général),靜音（主）,ミュート（マスター）,음소거 (마스터),Silenciar (general),Silenciar (general),Silenciar (geral),Silenciar (geral),Без звука (общий)
settings_reduce_motion_label,Reduce motion,Bewegung reduzieren,减弱动态效果,Réduire les animations,減少動態效果,モーションを減らす,모션 줄이기,Reducir animaciones,Reducir animaciones,Reduzir animações,Reduzir animações,Уменьшить анимацию
settings_language_label,Language,Sprache,语言,Langue,語言,言語,언어,Idioma,Idioma,Idioma,Idioma,Язык
settings_telemetry_label,Share anonymous diagnostic data,Anonyme Diagnosedaten teilen,分享匿名诊断数据,Partager des données de diagnostic anonymes,分享匿名診斷資料,匿名の診断データを共有,익명 진단 데이터 공유,Compartir datos de diagnóstico anónimos,Compartir datos de diagnóstico anónimos,Partilhar dados de diagnóstico anónimos,Compartilhar dados de diagnóstico anônimos,Делиться анонимными диагностическими данными
settings_reset_button,Reset to Defaults,Auf Standard zurücksetzen,恢复默认设置,Rétablir les valeurs par défaut,重設為預設值,デフォルトに戻す,기본값으로 초기화,Restablecer valores por defecto,Restablecer valores predeterminados,Repor predefinições,Restaurar padrões,Сбросить настройки
settings_close_button,Close,Schließen,关闭,Fermer,關閉,閉じる,닫기,Cerrar,Cerrar,Fechar,Fechar,Закрыть
